n, es_ex_max, es_ex_min, es_ex_avg, es_var, teo_ex, teo_var, teo_ex + czeb, teo_ex - czeb
50, 231, 212, 221.82, 16.937599999999986, 233.1928094887362, 16.937599999999986, 237.79411365168826, 228.59150532578414
100, 553, 524, 541.515, 30.23977499999999, 565.3856189774725, 30.23977499999999, 571.5337665643477, 559.2374713905973
150, 919, 872, 899.36, 62.77040000000005, 935.3228035743821, 62.77040000000005, 944.1807378708194, 926.4648692779448
200, 1310, 1258, 1282.9, 68.08, 1329.7712379549448, 68.08, 1338.9962040795438, 1320.5462718303459
250, 1701, 1650, 1679.56, 73.23639999999995, 1742.4460711655217, 73.23639999999995, 1752.0140124278832, 1732.8781299031602
300, 2126, 2069, 2096.975, 113.33437499999997, 2169.6456071487646, 113.33437499999997, 2181.5480425613177, 2157.7431717362115
350, 2551, 2492, 2525.955, 112.27297500000012, 2608.923889141315, 112.27297500000012, 2620.7704590562735, 2597.077319226357
400, 2988, 2933, 2960.49, 125.37989999999962, 3058.54247590989, 125.37989999999962, 3071.061456499379, 3046.0234953204013
450, 3443, 3366, 3405.635, 148.2817750000005, 3517.2015360476667, 148.2817750000005, 3530.8159482182305, 3503.587123877103
500, 3883, 3816, 3855.665, 158.60277500000012, 3983.892142331044, 158.60277500000012, 3997.972393349758, 3969.81189131233
550, 4344, 4284, 4320.055, 136.7519750000006, 4457.808294626612, 136.7519750000006, 4470.882695903535, 4444.733893349689
600, 4834, 4732, 4792.635, 237.97177500000055, 4938.291214297529, 237.97177500000055, 4955.5383798255225, 4921.044048769536
650, 5312, 5227, 5267.525, 219.8193749999998, 5424.792340145282, 219.8193749999998, 5441.368655138367, 5408.216025152196
700, 5787, 5703, 5747.705, 231.58797499999997, 5916.84777828263, 231.58797499999997, 5933.862036090422, 5899.833520474838
750, 6276, 6180, 6233.58, 271.5235999999996, 6414.060089037433, 271.5235999999996, 6432.483023114283, 6395.637154960582
800, 6764, 6653, 6722.41, 277.94190000000106, 6916.08495181978, 277.94190000000106, 6934.7243556460835, 6897.445547993477
850, 7254, 7174, 7213.8, 247.8300000000001, 7422.621176371305, 247.8300000000001, 7440.221957603967, 7405.020395138644
900, 7748, 7669, 7710.84, 273.48440000000073, 7933.403072095334, 273.48440000000073, 7951.892406858921, 7914.913737331747
950, 8250, 8155, 8208.85, 324.3475000000002, 8448.194518057395, 324.3475000000002, 8468.32991909636, 8428.059117018429
1000, 8751, 8671, 8709.71, 275.56589999999966, 8966.784284662088, 275.56589999999966, 8985.343847561036, 8948.22472176314
1050, 9261, 9171, 9217.265, 298.1647750000016, 9488.98229318116, 298.1647750000016, 9508.287887415732, 9469.676698946587
1100, 9791, 9683, 9738.735, 397.99477500000205, 10014.616589253224, 397.99477500000205, 10036.921150866267, 9992.312027640182
1150, 10306, 10209, 10258.12, 329.4656000000009, 10543.5308677065, 329.4656000000009, 10563.824512031757, 10523.237223381244
1200, 10849, 10704, 10783.68, 504.1276000000025, 11075.582428595058, 504.1276000000025, 11100.685406506056, 11050.47945068406
1250, 11359, 11246, 11305.22, 402.7916000000003, 11610.64047443681, 402.7916000000003, 11633.079046138235, 11588.201902735385
1300, 11889, 11779, 11834.25, 476.9475, 12148.584680290563, 476.9475, 12173.001567377169, 12124.167793203958
1350, 12422, 12314, 12368.65, 473.0174999999997, 12689.303984116561, 473.0174999999997, 12713.62006675748, 12664.987901475643
1400, 12944, 12832, 12895.77, 476.9871000000003, 13232.69555656526, 476.9871000000003, 13257.113457273552, 13208.27765585697
1450, 13476, 13357, 13429.24, 429.7423999999991, 13778.663918108332, 429.7423999999991, 13801.841018876115, 13755.486817340548
1500, 14032, 13884, 13960.665, 565.612775000001, 14327.120178074865, 565.612775000001, 14353.709949957114, 14300.530406192616
1550, 14559, 14395, 14495.545, 709.6079750000009, 14877.981375250482, 709.6079750000009, 14907.764087832615, 14848.198662668348
1600, 15111, 14973, 15041.43, 604.3751000000021, 15431.169903639562, 604.3751000000021, 15458.655697697584, 15403.68410958154
1650, 15635, 15515, 15585.52, 577.3895999999993, 15986.613010069745, 577.3895999999993, 16013.47817338583, 15959.747846753658
1700, 16201, 16057, 16127.505, 594.1899750000009, 16544.24235274261, 594.1899750000009, 16571.495562989294, 16516.989142495928
1750, 16731, 16614, 16670.685, 626.0857750000008, 17103.99361175946, 626.0857750000008, 17131.96872960997, 17076.01849390895
1800, 17287, 17154, 17219.99, 543.2398999999998, 17665.80614419067, 543.2398999999998, 17691.8647296281, 17639.747558753235
1850, 17837, 17701, 17764.52, 604.5395999999992, 18229.622677496798, 604.5395999999992, 18257.112211868993, 18202.133143124604
1900, 18384, 18246, 18312.655, 563.7659750000024, 18795.38903611479, 563.7659750000024, 18821.935362955806, 18768.842709273773
1950, 18928, 18796, 18863.52, 649.6595999999995, 19363.0538968421, 649.6595999999995, 19391.5508177284, 19334.5569759558
